"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/Jonger dan 5 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/5 tot 10 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/10 tot 15 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/15 tot 20 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/20 tot 25 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/25 tot 45 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/45 tot 65 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/65 tot 80 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/80 jaar of ouder (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Totaal met migratieachtergrond (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Westerse migratieachtergrond (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Totaal niet-westerse migratieachtergrond (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Marokko (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/(voormalige) Nederlandse Antillen, Aruba (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Suriname (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Turkije (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond, relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Overig niet-westerse migratieachtergrond (%)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (personen per 1 huishouden)";"Bouwen en wonen/Waarde onroerende zaken/Gemiddelde woningwaarde (1 000 euro)"
"2004";"Ooststellingwerf";6;6,4;6,5;6,2;5;27;26,9;12;3,9;7,5;4,8;2,7;0;0,1;0,2;0,1;2,3;2,39;112
"2005";"Ooststellingwerf";5,8;6,3;6,5;6;5,1;26,5;27,5;12,1;4,2;7,5;4,8;2,7;0;0,1;0,2;0,1;2,2;2,38;174
"2006";"Ooststellingwerf";5,4;6,4;6,4;5,9;4,9;26;28,3;12,3;4,3;6,3;4,6;1,7;0,1;0,1;0,1;0,1;1,3;2,39;174
"2007";"Ooststellingwerf";5,4;6,5;6,4;6;4,9;25,4;28,8;12,5;4,3;6,2;4,6;1,7;0,1;0,1;0,1;0,1;1,3;2,36;190
"2008";"Ooststellingwerf";5,3;6,3;6,3;6,1;4,9;24,7;29,3;12,6;4,4;6,9;4,5;2,4;0,1;0,1;0,1;0,1;2;2,34;204
"2009";"Ooststellingwerf";5,2;6,1;6,4;6,2;4,8;24,4;29,7;12,8;4,5;7,3;4,5;2,8;0,1;0,1;0,1;0,1;2,4;2,32;208
"2010";"Ooststellingwerf";5;5,9;6,3;6,1;5;23,5;30,3;13,2;4,7;7,4;4,5;2,9;0,1;0,1;0,1;0,1;2,5;2,3;211
"2011";"Ooststellingwerf";5;5,7;6,5;6;4,8;23;30,7;13,6;4,9;6,5;4,5;2;0,1;0,1;0,2;0,1;1,6;2,31;207
"2012";"Ooststellingwerf";4,8;5,5;6,6;6;4,6;22,5;30,7;14,3;4,9;6,3;4,5;1,8;0,1;0,1;0,2;0,1;1,4;2,3;204
"2013";"Ooststellingwerf";4,6;5,5;6,5;6;4,8;21,9;30,5;15,1;5;6,4;4,5;1,9;0,1;0,1;0,2;0,1;1,4;2,28;194
"2014";"Ooststellingwerf";4,7;5,2;6,3;6;4,8;21,6;30,4;15,7;5,2;6,4;4,5;1,8;0,1;0,1;0,2;0,1;1,4;2,27;180
"2015";"Ooststellingwerf";4,7;5,2;6,1;5,9;4,7;21,2;30,6;16,3;5,4;6,5;4,5;1,9;0,1;0,1;0,2;0,1;1,5;2,26;168
"2016";"Ooststellingwerf";4,6;5,2;5,8;6,1;4,5;20,9;30,5;16,7;5,6;6,5;4,4;2,1;0,1;0,1;0,2;0,1;1,7;2,25;170
"2017";"Ooststellingwerf";4,5;5,1;5,6;6,3;4,6;20,7;30,5;17;5,7;6,7;4,4;2,3;0,1;0,1;0,2;0,1;1,9;2,23;177
"2018";"Ooststellingwerf";4,5;5;5,6;6,2;4,4;20,6;30,5;17,5;5,7;6,9;4,4;2,5;0,1;0,2;0,2;0,1;2;2,22;191
"2019";"Ooststellingwerf";4,3;5,1;5,5;6;4,7;20,3;30,6;17,8;5,8;7;4,3;2,6;0,1;0,2;0,2;0,1;2,1;2,22;199
"2020";"Ooststellingwerf";4,3;5,1;5,4;5,8;4,8;20,1;30,4;18,1;6;7,2;4,3;2,9;0,1;0,2;0,2;0,1;2,3;2,21;214
"2021";"Ooststellingwerf";4,2;4,9;5,4;5,6;4,9;20,1;30,3;18,5;6,1;7,3;4,4;3;0,1;0,2;0,3;0,1;2,3;2,2;
"1995";"Oostzaan";6,6;5,5;4,7;5,4;6,1;33;25,7;10;3;;;;;;;;;2,46;
"1996";"Oostzaan";6,6;5,8;5;5;5,6;33,2;25,8;10;3;8,1;5,6;2,5;0,1;0,1;0,5;0,4;1,3;2,46;
"1997";"Oostzaan";6,6;6;5;4,7;5,5;32,7;26,1;10,2;3,2;8;5,6;2,5;0,1;0,2;0,6;0,3;1,3;2,45;87
"1998";"Oostzaan";6,7;6,2;5,1;4,3;5,6;33;25,8;10,2;3,2;8,2;5,6;2,6;0,1;0,2;0,6;0,3;1,3;2,44;87
"1999";"Oostzaan";6,7;6,6;5,1;4,5;5;33,1;25,6;10,3;3,1;8,5;5,5;3;0,1;0,2;0,7;0,5;1,5;2,46;87
"2000";"Oostzaan";7,1;6,7;5,3;4,6;4,5;32,6;25,7;10,4;3,1;9;5,8;3,3;0,2;0,2;0,7;0,6;1,6;2,46;87
"2001";"Oostzaan";7,1;6,6;5,6;4,7;4,1;32,1;26;10,5;3,3;9,2;5,7;3,5;0,2;0,2;0,8;0,6;1,7;2,47;159
"2002";"Oostzaan";7;6,7;5,9;4,8;3,9;31,5;26,3;10,6;3,3;9,3;5,7;3,7;0,2;0,2;0,9;0,6;1,7;2,46;161
"2003";"Oostzaan";7;6,8;6,1;4,9;3,7;30,9;26,6;10,8;3,2;9,6;5,8;3,8;0,3;0,2;0,9;0,7;1,8;2,46;162
"2004";"Oostzaan";6,8;6,8;6,4;4,9;3,9;30,2;26,7;11;3,3;10;5,9;4,1;0,3;0,2;1;0,7;2;2,46;163
"2005";"Oostzaan";6,5;7,2;6,6;5,1;3,8;29,2;27,2;11,2;3,4;9,9;5,8;4,1;0,3;0,2;1;0,7;1,8;2,45;256
"2006";"Oostzaan";6,1;7,3;6,4;5,3;4;28,6;27,4;11,4;3,5;10,1;5,9;4,2;0,3;0,2;1;0,8;2;2,44;255
"2007";"Oostzaan";6,1;7;6,5;5,7;4;27,5;27,9;11,7;3,6;10,1;5,9;4,2;0,3;0,2;0,9;0,8;1,9;2,43;279
"2008";"Oostzaan";5,7;7;6,6;5,9;3,8;26,7;28,5;11,9;3,8;10,5;6;4,5;0,4;0,2;1;0,9;2,1;2,42;294
"2009";"Oostzaan";5,3;7;6,7;6,3;4,1;25,6;29,1;12,2;3,8;10,8;6,2;4,6;0,4;0,2;0,9;0,9;2,2;2,42;314
"2010";"Oostzaan";5;6,6;6,9;6,5;4,4;24,6;29,8;12,6;3,6;11,1;6,3;4,8;0,4;0,2;0,9;0,9;2,3;2,41;306
"2011";"Oostzaan";4,8;6,2;7,1;6,3;4,8;23,4;30,7;12,9;3,7;11,2;6,1;5;0,4;0,2;1;1;2,4;2,41;300
"2012";"Oostzaan";4,6;6,1;6,9;6,5;5;22,4;30,8;13,5;4;11,2;6,1;5,1;0,4;0,2;1;1;2,6;2,41;291
"2013";"Oostzaan";4,4;5,8;7;6,4;5,3;21,6;31,2;14,1;4,3;11,1;6;5,2;0,4;0,2;0,9;1;2,6;2,37;287
"2014";"Oostzaan";4,4;5,5;6,8;6,5;5,6;20,8;31,4;14,7;4,4;11,4;6,1;5,3;0,4;0,2;0,9;1,1;2,7;2,37;263
"2015";"Oostzaan";4,4;5,3;6,6;6,6;5,5;20,5;31,3;15,3;4,5;11,9;6,4;5,5;0,4;0,2;1;1,1;2,8;2,36;258
"2016";"Oostzaan";4,6;5,3;6,2;6,7;5,3;21,3;30,9;15,3;4,5;12,5;6,5;6;0,5;0,2;1,1;1,2;3;2,35;262
"2017";"Oostzaan";5;5;6,1;6,6;5,4;21,5;30,7;15,1;4,6;13,1;6,4;6,7;0,5;0,2;1,1;1,2;3,7;2,36;270
"2018";"Oostzaan";5;5,1;5,8;6,8;5,2;21,4;31;15,3;4,6;13,5;6,4;7,2;0,5;0,2;1,1;1,2;4,2;2,36;284
"2019";"Oostzaan";5,1;5,3;5,6;6,5;5,4;21,1;31;15;5;13,8;6,5;7,3;0,6;0,2;1,1;1,1;4,3;2,37;325
"2020";"Oostzaan";5,1;5,3;5,4;6,3;5,6;20,7;30,9;15,3;5,3;14,5;6,5;8;0,7;0,2;1,2;1,2;4,7;2,36;360
"2021";"Oostzaan";4,9;5,2;5,5;6,2;5,6;20,6;30,8;15,7;5,4;14,8;6,6;8,2;0,7;0,2;1,2;1,2;5;2,37;
"1995";"Ootmarsum";6,1;5,7;5,1;6,8;6,6;29,5;26,5;10;3,8;;;;;;;;;2,73;
"1996";"Ootmarsum";6,1;5,5;5,3;6,5;6,4;29,5;26,8;10,2;3,6;6,5;5,5;1,1;0;0;0;0,5;0,5;2,75;
"1997";"Ootmarsum";6,4;6;5,1;5,9;6,6;29,4;26,6;10;4;6,6;5,5;1,1;0;0;0;0,5;0,6;2,71;108
"1998";"Ootmarsum";6,9;5,9;5,1;5,5;6;29,3;26,7;10,6;3,9;6,2;5,2;1;0;0;0;0,4;0,5;2,68;110
"1999";"Ootmarsum";6,8;6,2;5,3;5,1;5,4;29;27,3;10,8;4,2;6,1;5,1;1;0;0;0;0,4;0,5;2,66;110
"2000";"Ootmarsum";7,3;6,1;5,6;4,7;5,2;29,3;27,1;10,5;4,3;6,2;5,2;1;0;0;0;0,4;0,6;2,65;109
"2001";"Ootmarsum";;;;;;;;;;;;;;;;;;;
"2002";"Ootmarsum";;;;;;;;;;;;;;;;;;;
"2003";"Ootmarsum";;;;;;;;;;;;;;;;;;;
"2004";"Ootmarsum";;;;;;;;;;;;;;;;;;;
"2005";"Ootmarsum";;;;;;;;;;;;;;;;;;;
"2006";"Ootmarsum";;;;;;;;;;;;;;;;;;;
"2007";"Ootmarsum";;;;;;;;;;;;;;;;;;;
"2008";"Ootmarsum";;;;;;;;;;;;;;;;;;;
"2009";"Ootmarsum";;;;;;;;;;;;;;;;;;;
"2010";"Ootmarsum";;;;;;;;;;;;;;;;;;;
"2011";"Ootmarsum";;;;;;;;;;;;;;;;;;;
"2012";"Ootmarsum";;;;;;;;;;;;;;;;;;;
"2013";"Ootmarsum";;;;;;;;;;;;;;;;;;;
"2014";"Ootmarsum";;;;;;;;;;;;;;;;;;;
"2015";"Ootmarsum";;;;;;;;;;;;;;;;;;;
"2016";"Ootmarsum";;;;;;;;;;;;;;;;;;;
"2017";"Ootmarsum";;;;;;;;;;;;;;;;;;;
"2018";"Ootmarsum";;;;;;;;;;;;;;;;;;;
"2019";"Ootmarsum";;;;;;;;;;;;;;;;;;;
"2020";"Ootmarsum";;;;;;;;;;;;;;;;;;;
"2021";"Ootmarsum";;;;;;;;;;;;;;;;;;;
"1995";"Opmeer";7,5;7,2;6,3;7,6;7,6;31;22,7;7,8;2,3;;;;;;;;;2,82;
"1996";"Opmeer";7,6;7,5;6;7,3;7,1;31,1;23;8,1;2,3;4,9;3,4;1,4;0,2;0,2;0,3;0;0,7;2,78;
"1997";"Opmeer";7,7;7,5;6;7;6,5;31,4;23,6;8;2,3;4,9;3,5;1,4;0,2;0,2;0,3;0;0,7;2,75;90
"1998";"Opmeer";7,3;7,7;6,1;6,5;6,2;31,4;24,2;8,2;2,3;4,8;3,4;1,4;0,2;0,2;0,3;0;0,7;2,73;90
"1999";"Opmeer";7,6;7,5;6,5;5,9;6,3;31,2;24,6;8,3;2,1;5,1;3,6;1,5;0,2;0,2;0,3;0;0,8;2,67;90
"2000";"Opmeer";7,6;7,3;6,8;5,7;6,1;30,7;25,2;8,5;2,1;5;3,6;1,5;0,2;0,1;0,3;0;0,8;2,69;90
"2001";"Opmeer";7,5;7,4;7,1;5,6;5,9;30,4;25,4;8,8;2,1;5,1;3,5;1,6;0,2;0,1;0,3;0,1;0,9;2,68;136
"2002";"Opmeer";7,1;7,5;7,2;5,7;5,8;29,5;26;8,9;2,2;5,3;3,6;1,7;0,2;0,2;0,3;0,1;0,9;2,67;139
"2003";"Opmeer";7,3;7,3;7,6;5,7;5,2;29,3;26,4;9,1;2,2;5,4;3,7;1,7;0,2;0,2;0,3;0,1;0,9;2,64;139
"2004";"Opmeer";7,2;7,3;7,5;6,1;4,7;29,1;26,4;9,4;2,3;5,5;3,7;1,7;0,2;0,2;0,3;0,1;1;2,65;139
"2005";"Opmeer";7,1;7,2;7,2;6,3;4,6;28,7;26,7;9,7;2,4;5,5;3,7;1,8;0,2;0,2;0,3;0,1;1;2,6;227
"2006";"Opmeer";6,7;7,2;7,3;6,6;4,4;27,7;27,2;10,2;2,6;5,5;3,6;1,9;0,2;0,2;0,3;0,1;1,1;2,61;226
"2007";"Opmeer";6,8;7,1;7,2;6,6;4,5;26,7;27,8;10,4;2,8;5,4;3,6;1,8;0,2;0,2;0,3;0,1;1,1;2,59;239
"2008";"Opmeer";6,4;7,2;6,9;7;4,7;25,9;28,2;10,8;2,9;5,4;3,5;1,9;0,2;0,2;0,3;0,1;1,1;2,57;256
"2009";"Opmeer";6;7,2;6,9;6,9;5,1;25,3;28,4;11,2;2,9;5,6;3,9;1,8;0,2;0,2;0,3;0,1;1;2,54;262
"2010";"Opmeer";5,7;7,1;7;6,9;5,5;24,1;28,6;11,9;3,1;5,8;4,1;1,7;0,2;0,1;0,3;0,1;1;2,53;263
"2011";"Opmeer";5,5;6,9;7;6,8;5,7;23,3;29;12,4;3,4;6;4,1;1,8;0,2;0,2;0,3;0,1;1,1;2,51;259
"2012";"Opmeer";5,2;6,8;6,9;6,8;5,7;22,8;29,1;13,3;3,5;6,2;4,3;1,9;0,2;0,2;0,3;0;1,1;2,48;254
"2013";"Opmeer";5;6,5;7;6,5;6,1;22,4;29;14;3,6;6,2;4,3;1,9;0,2;0,2;0,3;0;1,1;2,46;246
"2014";"Opmeer";4,8;6,2;7;6,6;6;22;29;14,6;3,8;6,4;4,4;2,1;0,2;0,2;0,3;0;1,2;2,45;232
"2015";"Opmeer";4,5;5,9;7,2;6,7;5,9;21,6;29,2;15,1;3,9;6,4;4,3;2,1;0,2;0,2;0,4;0;1,3;2,44;228
"2016";"Opmeer";4,3;5,6;6,9;6,8;5,9;21,9;29,2;15,5;4;7;4,5;2,5;0,2;0,2;0,4;0;1,6;2,42;228
"2017";"Opmeer";4,4;5,3;6,8;6,7;6;21,4;29,1;16,1;4,2;7,4;4,7;2,7;0,2;0,2;0,4;0,1;1,8;2,41;231
"2018";"Opmeer";4,6;5;6,4;6,8;5,9;21,3;29,2;16,5;4,3;8;5,1;2,8;0,1;0,3;0,4;0,1;1,9;2,41;239
"2019";"Opmeer";4,8;4,7;6,1;6,7;6,2;22,1;28,5;16,4;4,5;9,2;6,3;2,9;0,1;0,3;0,4;0,1;2;2,36;249
"2020";"Opmeer";4,7;4,6;5,8;6,7;6;22,4;28,5;16,5;4,7;9,4;6,4;3;0,1;0,2;0,4;0,1;2,1;2,34;266
"2021";"Opmeer";5;4,4;5,5;6,5;6;22,8;28;16,8;4,9;9,6;6,4;3,3;0,1;0,3;0,5;0,1;2,3;2,33;
"1995";"Opsterland";6,7;7,1;6,8;6,4;6,2;30,2;22,5;10,6;3,5;;;;;;;;;2,62;
"1996";"Opsterland";6,7;7;6,8;6,4;5,8;30,5;22,9;10,5;3,5;4,3;3,2;1,1;0,1;0,1;0,2;0;0,7;2,59;
"1997";"Opsterland";6,5;7;6,9;6,3;5,3;30,6;23,3;10,7;3,4;4,5;3,2;1,2;0;0,1;0,2;0;0,8;2,57;66
"1998";"Opsterland";6,6;6,8;6,9;6,4;5,1;30,6;23,6;10,6;3,4;4,3;3,2;1,1;0,1;0,1;0,2;0;0,8;2,55;67
"1999";"Opsterland";6,6;6,8;6,7;6,5;4,8;30,3;24,2;10,7;3,3;4,3;3,1;1,2;0,1;0,1;0,2;0;0,8;2,52;68
"2000";"Opsterland";6,6;6,7;6,9;6,5;4,7;29,7;24,8;10,7;3,5;4,6;3,3;1,2;0,1;0,1;0,2;0;0,9;2,51;68
"2001";"Opsterland";6,6;6,7;6,8;6,3;4,7;29,4;25,1;10,8;3,6;4,6;3,4;1,2;0,1;0,1;0,2;0;0,9;2,51;114
"2002";"Opsterland";6,5;6,8;6,8;6,5;4,4;28,8;25,7;10,9;3,5;4,4;3,1;1,3;0,1;0,1;0,2;0;1;2,49;115
"2003";"Opsterland";6,6;6,7;6,7;6,5;4,7;28,3;26,1;10,9;3,5;4,5;3,3;1,2;0,1;0,1;0,2;0;0,9;2,49;116
"2004";"Opsterland";6,6;6,8;6,7;6,4;4,8;27,9;26,6;10,7;3,5;4,5;3,3;1,2;0,1;0,1;0,1;0;0,8;2,49;118
"2005";"Opsterland";6,4;6,7;6,7;6,5;5;27,1;27,2;10,8;3,7;4,6;3,3;1,3;0,1;0,1;0,1;0;1;2,49;182
"2006";"Opsterland";6,2;6,9;6,8;6,3;4,8;26,5;27,9;10,9;3,7;4,8;3,4;1,4;0,1;0,1;0,1;0;1;2,48;183
"2007";"Opsterland";6,1;6,8;6,8;6,3;4,8;26;28,5;11,1;3,7;4,9;3,4;1,5;0,1;0,1;0,2;0;1,1;2,46;214
"2008";"Opsterland";5,9;7;6,8;6,2;4,6;25,4;29;11,3;3,8;4,9;3,3;1,6;0,1;0,1;0,2;0;1,1;2,45;227
"2009";"Opsterland";5,7;6,9;6,9;6,3;4,6;24,7;29,2;11,7;3,9;5,1;3,4;1,7;0,1;0,2;0,2;0;1,2;2,44;232
"2010";"Opsterland";5,7;6,8;6,9;6,3;4,8;24,2;29,2;12;4;5,2;3,4;1,8;0,1;0,2;0,2;0;1,3;2,43;230
"2011";"Opsterland";5,6;6,6;7;6,3;4,7;23,8;29,6;12,3;4,1;5,2;3,5;1,7;0,1;0,2;0,2;0;1,3;2,42;228
"2012";"Opsterland";5,4;6,5;7;6,3;4,6;23,1;29,7;13,1;4,3;5,3;3,4;1,9;0,1;0,2;0,2;0;1,3;2,41;220
"2013";"Opsterland";5,2;6,2;7,2;6,3;4,7;22,6;29,9;13,5;4,5;5,5;3,5;2;0,1;0,2;0,2;0;1,5;2,4;208
"2014";"Opsterland";5;6,1;7,1;6,4;4,8;21,8;30,2;14;4,6;5,6;3,4;2,1;0,1;0,3;0,2;0,1;1,5;2,38;191
"2015";"Opsterland";4,8;6;6,9;6,5;4,9;21,1;30,5;14,4;4,8;5,7;3,6;2,1;0,1;0,3;0,2;0,1;1,5;2,37;194
"2016";"Opsterland";4,7;6;6,7;6,7;4,8;20,6;30,8;14,8;4,9;5,8;3,5;2,3;0,1;0,3;0,2;0,1;1,7;2,36;187
"2017";"Opsterland";4,5;5,8;6,7;6,8;5;20,1;31;15,2;5;6,1;3,5;2,5;0,1;0,3;0,2;0,1;1,9;2,35;201
"2018";"Opsterland";4,5;5,6;6,4;6,9;5;20;31;15,5;5,1;6,1;3,5;2,7;0,1;0,3;0,2;0,1;2;2,34;212
"2019";"Opsterland";4,5;5,4;6,2;6,7;5,1;20;30,8;15,9;5,2;6,3;3,5;2,8;0,1;0,3;0,2;0,1;2,2;2,33;216
"2020";"Opsterland";4,6;5,2;6,1;6,6;5,2;20,1;30,5;16,4;5,3;6,4;3,5;2,9;0,1;0,3;0,2;0,1;2,3;2,31;236
"2021";"Opsterland";4,7;5,1;6;6,4;5,4;20,1;30,2;16,6;5,4;6,5;3,5;2,9;0,1;0,3;0,2;0,1;2,3;2,31;
"1995";"Oss";6,4;6,3;6;6,1;7,3;32,4;23,9;9,6;2,1;;;;;;;;;2,49;
"1996";"Oss";6,3;6,3;5,9;6;7;32,4;24;9,8;2,1;15,6;7,9;7,7;0,3;0,3;0,7;5;1,4;2,47;
"1997";"Oss";6,3;6,3;6;5,9;6,4;32,6;24,3;10;2,2;15,8;7,9;7,9;0,3;0,3;0,8;5,1;1,4;2,46;85
"1998";"Oss";6,3;6,4;6;5,9;6;32,6;24,4;10,2;2,2;16;7,9;8,1;0,3;0,3;0,8;5,1;1,6;2,44;85
"1999";"Oss";6,4;6,2;6,1;5,9;5,8;32,4;24,6;10,4;2,2;16,3;7,9;8,4;0,3;0,3;0,8;5,3;1,7;2,43;86
"2000";"Oss";6,5;6,3;6,1;5,8;5,6;32;24,8;10,6;2,2;16,6;7,9;8,7;0,3;0,3;0,8;5,4;1,9;2,44;86
"2001";"Oss";6,5;6,2;6,2;5,8;5,7;31,6;24,9;10,7;2,3;16,9;7,9;9;0,4;0,3;0,8;5,5;2;2,42;137
"2002";"Oss";6,6;6,1;6,2;5,8;5,7;31,3;25,1;10,7;2,5;17,2;7,9;9,2;0,4;0,4;0,8;5,6;2,1;2,41;137
"2003";"Oss";6,5;6,2;6,4;5,9;5,6;30,6;25,6;10,7;2,6;16,1;7,5;8,6;0,4;0,3;0,8;5,1;2,1;2,44;141
"2004";"Oss";6,4;6,3;6,3;5,9;5,4;30;26,1;10,8;2,8;16,3;7,5;8,8;0,4;0,3;0,8;5,2;2,1;2,44;141
"2005";"Oss";6,1;6,4;6,3;6;5,4;29,5;26,6;10,9;2,8;16,4;7,5;8,9;0,4;0,3;0,8;5,3;2,2;2,42;213
"2006";"Oss";5,9;6,4;6,2;6,2;5,3;28,9;27;11,2;3;16,5;7,5;9;0,4;0,3;0,8;5,3;2,2;2,4;213
"2007";"Oss";5,7;6,4;6,1;6,2;5,4;28,3;27,5;11,3;3;16,6;7,5;9,1;0,4;0,3;0,8;5,4;2,2;2,38;228
"2008";"Oss";5,5;6,4;6,1;6,2;5,4;27,9;27,7;11,6;3,2;16,7;7,5;9,1;0,4;0,3;0,8;5,4;2,2;2,37;245
"2009";"Oss";5,4;6,2;6,2;6,2;5,5;27,4;28,1;11,7;3,4;16,9;7,7;9,2;0,4;0,3;0,8;5,4;2,3;2,35;253
"2010";"Oss";5,3;6;6,3;6,2;5,5;26,8;28,5;11,9;3,5;17,2;7,7;9,5;0,4;0,3;0,8;5,5;2,4;2,34;254
"2011";"Oss";5,1;5,9;6,4;6,2;5,6;26;29;12,1;3,6;16,4;7,5;8,9;0,4;0,3;0,7;5,1;2,3;2,34;250
"2012";"Oss";5,1;5,8;6,5;6,1;5,6;25,6;29,1;12,6;3,7;16,7;7,6;9;0,5;0,3;0,7;5,1;2,4;2,33;240
"2013";"Oss";5,1;5,5;6,5;6;5,6;25,3;29;13,1;3,9;16,9;7,8;9,1;0,5;0,3;0,7;5;2,6;2,32;230
"2014";"Oss";4,9;5,3;6,4;6,2;5,5;25;29,1;13,6;4;17,3;8;9,3;0,5;0,3;0,7;5,1;2,6;2,3;215
"2015";"Oss";4,9;5,2;6,2;6,3;5,5;24,3;29,4;13,9;4,2;16,8;7,9;9;0,5;0,3;0,7;4,7;2,7;2,3;208
"2016";"Oss";4,9;5,2;6;6,3;5,5;23,9;29,7;14,3;4,3;17,1;8;9,1;0,5;0,3;0,7;4,7;2,9;2,29;205
"2017";"Oss";4,8;5,1;5,8;6,4;5,6;23,6;29,8;14,6;4,4;17,7;8,3;9,4;0,5;0,3;0,7;4,6;3,2;2,28;211
"2018";"Oss";4,9;5,1;5,6;6,5;5,6;23,3;29,7;14,9;4,5;18,2;8,5;9,6;0,5;0,3;0,7;4,7;3,4;2,27;218
"2019";"Oss";4,9;5;5,4;6,3;5,8;23,3;29,5;15;4,6;18,7;8,9;9,8;0,5;0,3;0,7;4,6;3,5;2,26;234
"2020";"Oss";4,9;4,9;5,3;6,1;5,9;23,5;29,4;15,2;4,8;19,4;9,4;9,9;0,5;0,3;0,7;4,6;3,7;2,25;254
"2021";"Oss";4,8;4,9;5,2;5,9;6,1;23,8;29,1;15,5;4,8;20;9,9;10,1;0,6;0,4;0,7;4,6;3,9;2,23;
"1995";"Ossendrecht";6,2;5,3;5;5,6;5,9;30,8;27;11;3,3;;;;;;;;;2,52;
"1996";"Ossendrecht";6,2;5,3;5,1;5,5;5,7;30,5;27,7;10,8;3,4;16,4;15,4;1;0;0,1;0,2;0,1;0,6;2,52;
"1997";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"1998";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"1999";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"2000";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"2001";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"2002";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"2003";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"2004";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"2005";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"2006";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"2007";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"2008";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"2009";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"2010";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"2011";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"2012";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"2013";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"2014";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"2015";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"2016";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"2017";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"2018";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"2019";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"2020";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"2021";"Ossendrecht";;;;;;;;;;;;;;;;;;;
"1995";"Oud en Nieuw Gastel";5,9;6,2;5,4;5,6;7;32,6;24,8;10,3;2,3;;;;;;;;;2,63;
"1996";"Oud en Nieuw Gastel";6;5,9;5,8;5,4;6,1;32,8;25;10,7;2,3;4,6;3,5;1,1;0,2;0,1;0,2;0,1;0,5;2,6;
"1997";"Oud en Nieuw Gastel";;;;;;;;;;;;;;;;;;;
"1998";"Oud en Nieuw Gastel";;;;;;;;;;;;;;;;;;;
"1999";"Oud en Nieuw Gastel";;;;;;;;;;;;;;;;;;;
"2000";"Oud en Nieuw Gastel";;;;;;;;;;;;;;;;;;;
