"Geslacht;""Leeftijd"";""Nationaliteit"";""Perioden"";""Regio's"";""Bevolking (aantal)"""
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Noord-Friesland (CR)"";319277"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Noord-Friesland (CR)"";320647"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Zuidwest-Friesland (CR)"";106392"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Zuidwest-Friesland (CR)"";106401"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Zuidwest-Friesland (CR)"";135594"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Zuidwest-Friesland (CR)"";135377"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Zuidwest-Friesland (CR)"";135313"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Zuidwest-Friesland (CR)"";135743"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Zuidwest-Friesland (CR)"";141336"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Zuidwest-Friesland (CR)"";141140"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Zuidwest-Friesland (CR)"";141551"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Zuidoost-Friesland (CR)"";208080"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Zuidoost-Friesland (CR)"";207523"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Zuidoost-Friesland (CR)"";186355"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Zuidoost-Friesland (CR)"";186777"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Zuidoost-Friesland (CR)"";186650"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Zuidoost-Friesland (CR)"";186764"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Zuidoost-Friesland (CR)"";187013"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Zuidoost-Friesland (CR)"";187255"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Zuidoost-Friesland (CR)"";187759"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Noord-Drenthe (CR)"";189816"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Noord-Drenthe (CR)"";189647"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Noord-Drenthe (CR)"";189493"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Noord-Drenthe (CR)"";189359"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Noord-Drenthe (CR)"";189597"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Noord-Drenthe (CR)"";192497"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Noord-Drenthe (CR)"";192102"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Noord-Drenthe (CR)"";191515"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Noord-Drenthe (CR)"";192369"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Zuidoost-Drenthe (CR)"";170578"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Zuidoost-Drenthe (CR)"";169819"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Zuidoost-Drenthe (CR)"";169448"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Zuidoost-Drenthe (CR)"";168812"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Zuidoost-Drenthe (CR)"";168336"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Zuidoost-Drenthe (CR)"";168131"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Zuidoost-Drenthe (CR)"";167842"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Zuidoost-Drenthe (CR)"";167968"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Zuidoost-Drenthe (CR)"";167904"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Zuidwest-Drenthe (CR)"";130413"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Zuidwest-Drenthe (CR)"";130452"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Zuidwest-Drenthe (CR)"";130047"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Zuidwest-Drenthe (CR)"";130405"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Zuidwest-Drenthe (CR)"";130696"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Zuidwest-Drenthe (CR)"";131164"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Zuidwest-Drenthe (CR)"";132156"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Zuidwest-Drenthe (CR)"";132684"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Zuidwest-Drenthe (CR)"";133409"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Noord-Overijssel (CR)"";358148"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Noord-Overijssel (CR)"";359806"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Noord-Overijssel (CR)"";360747"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Noord-Overijssel (CR)"";361694"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Noord-Overijssel (CR)"";364300"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Noord-Overijssel (CR)"";366319"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Noord-Overijssel (CR)"";368819"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Noord-Overijssel (CR)"";371608"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Noord-Overijssel (CR)"";374659"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Zuidwest-Overijssel (CR)"";152934"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Zuidwest-Overijssel (CR)"";152818"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Zuidwest-Overijssel (CR)"";152611"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Zuidwest-Overijssel (CR)"";152982"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Zuidwest-Overijssel (CR)"";153455"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Zuidwest-Overijssel (CR)"";154159"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Zuidwest-Overijssel (CR)"";154834"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Zuidwest-Overijssel (CR)"";155539"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Zuidwest-Overijssel (CR)"";156683"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Twente (CR)"";626586"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Twente (CR)"";626726"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Twente (CR)"";626339"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Twente (CR)"";625976"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Twente (CR)"";626525"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Twente (CR)"";627209"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Twente (CR)"";627848"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Twente (CR)"";629284"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Twente (CR)"";631064"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Veluwe (CR)"";659218"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Veluwe (CR)"";661985"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Veluwe (CR)"";664067"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Veluwe (CR)"";667946"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Veluwe (CR)"";672027"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Veluwe (CR)"";677662"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Veluwe (CR)"";683240"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Veluwe (CR)"";688799"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Veluwe (CR)"";695500"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Achterhoek (CR)"";401476"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Achterhoek (CR)"";400727"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Achterhoek (CR)"";399707"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Achterhoek (CR)"";398772"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Achterhoek (CR)"";399260"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Achterhoek (CR)"";399921"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Achterhoek (CR)"";400416"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Achterhoek (CR)"";400685"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Achterhoek (CR)"";401193"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Arnhem/Nijmegen (CR)"";714049"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Arnhem/Nijmegen (CR)"";716391"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Arnhem/Nijmegen (CR)"";718842"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Arnhem/Nijmegen (CR)"";722312"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Arnhem/Nijmegen (CR)"";725759"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Arnhem/Nijmegen (CR)"";730428"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Arnhem/Nijmegen (CR)"";735203"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Arnhem/Nijmegen (CR)"";738436"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Arnhem/Nijmegen (CR)"";742694"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Zuidwest-Gelderland (CR)"";236002"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Zuidwest-Gelderland (CR)"";236688"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Zuidwest-Gelderland (CR)"";237076"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Zuidwest-Gelderland (CR)"";237548"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Zuidwest-Gelderland (CR)"";238305"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Zuidwest-Gelderland (CR)"";239890"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Zuidwest-Gelderland (CR)"";241244"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Zuidwest-Gelderland (CR)"";244052"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Zuidwest-Gelderland (CR)"";246565"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Utrecht (CR)"";1237117"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Utrecht (CR)"";1245294"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Utrecht (CR)"";1253672"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Utrecht (CR)"";1263572"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Utrecht (CR)"";1273613"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Utrecht (CR)"";1284504"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Utrecht (CR)"";1295484"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Utrecht (CR)"";1342158"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Utrecht (CR)"";1354834"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Kop van Noord-Holland (CR)"";372017"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Kop van Noord-Holland (CR)"";371865"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Kop van Noord-Holland (CR)"";371616"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Kop van Noord-Holland (CR)"";372095"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Kop van Noord-Holland (CR)"";372606"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Kop van Noord-Holland (CR)"";373266"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Kop van Noord-Holland (CR)"";374461"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Kop van Noord-Holland (CR)"";375659"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Kop van Noord-Holland (CR)"";377769"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Alkmaar en omgeving (CR)"";232531"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Alkmaar en omgeving (CR)"";232725"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Alkmaar en omgeving (CR)"";233359"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Alkmaar en omgeving (CR)"";240505"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Alkmaar en omgeving (CR)"";241621"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Alkmaar en omgeving (CR)"";243632"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Alkmaar en omgeving (CR)"";245196"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Alkmaar en omgeving (CR)"";246730"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Alkmaar en omgeving (CR)"";248993"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""IJmond (CR)"";193769"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""IJmond (CR)"";193772"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""IJmond (CR)"";193923"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""IJmond (CR)"";194138"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""IJmond (CR)"";195029"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""IJmond (CR)"";196180"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""IJmond (CR)"";197182"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""IJmond (CR)"";197988"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""IJmond (CR)"";199108"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Agglomeratie Haarlem (CR)"";222241"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Agglomeratie Haarlem (CR)"";223724"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Agglomeratie Haarlem (CR)"";225680"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Agglomeratie Haarlem (CR)"";227647"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Agglomeratie Haarlem (CR)"";229572"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Agglomeratie Haarlem (CR)"";231555"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Agglomeratie Haarlem (CR)"";232834"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Agglomeratie Haarlem (CR)"";228972"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Agglomeratie Haarlem (CR)"";230823"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Zaanstreek (CR)"";164062"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Zaanstreek (CR)"";165362"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Zaanstreek (CR)"";166375"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Zaanstreek (CR)"";167158"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Zaanstreek (CR)"";168130"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Zaanstreek (CR)"";169499"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Zaanstreek (CR)"";170860"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Zaanstreek (CR)"";172214"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Zaanstreek (CR)"";173064"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Groot-Amsterdam (CR)"";1280160"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Groot-Amsterdam (CR)"";1291735"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Groot-Amsterdam (CR)"";1305307"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Groot-Amsterdam (CR)"";1313889"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Groot-Amsterdam (CR)"";1329572"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Groot-Amsterdam (CR)"";1344659"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Groot-Amsterdam (CR)"";1357675"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Groot-Amsterdam (CR)"";1376826"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Groot-Amsterdam (CR)"";1392695"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Het Gooi en Vechtstreek (CR)"";245042"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Het Gooi en Vechtstreek (CR)"";245117"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Het Gooi en Vechtstreek (CR)"";245109"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Het Gooi en Vechtstreek (CR)"";246497"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Het Gooi en Vechtstreek (CR)"";248324"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Het Gooi en Vechtstreek (CR)"";250692"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Het Gooi en Vechtstreek (CR)"";252974"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Het Gooi en Vechtstreek (CR)"";254970"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Het Gooi en Vechtstreek (CR)"";257075"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Agglomeratie Leiden en Bollenstreek (CR)"";409129"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Agglomeratie Leiden en Bollenstreek (CR)"";411351"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Agglomeratie Leiden en Bollenstreek (CR)"";413101"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Agglomeratie Leiden en Bollenstreek (CR)"";415106"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Agglomeratie Leiden en Bollenstreek (CR)"";418023"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Agglomeratie Leiden en Bollenstreek (CR)"";421296"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Agglomeratie Leiden en Bollenstreek (CR)"";424657"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Agglomeratie Leiden en Bollenstreek (CR)"";427217"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Agglomeratie Leiden en Bollenstreek (CR)"";430358"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Agglomeratie 's-Gravenhage (CR)"";819646"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Agglomeratie 's-Gravenhage (CR)"";825018"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Agglomeratie 's-Gravenhage (CR)"";830237"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Agglomeratie 's-Gravenhage (CR)"";838015"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Agglomeratie 's-Gravenhage (CR)"";845425"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Agglomeratie 's-Gravenhage (CR)"";853987"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Agglomeratie 's-Gravenhage (CR)"";864129"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Agglomeratie 's-Gravenhage (CR)"";872211"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Agglomeratie 's-Gravenhage (CR)"";883720"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Delft en Westland (CR)"";218880"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Delft en Westland (CR)"";220046"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Delft en Westland (CR)"";221743"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Delft en Westland (CR)"";224041"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Delft en Westland (CR)"";224867"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Delft en Westland (CR)"";226047"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Delft en Westland (CR)"";229083"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Delft en Westland (CR)"";231157"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Delft en Westland (CR)"";233311"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2012"";""Oost-Zuid-Holland (CR)"";294376"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2013"";""Oost-Zuid-Holland (CR)"";294237"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2014"";""Oost-Zuid-Holland (CR)"";294815"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2015"";""Oost-Zuid-Holland (CR)"";318688"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2016"";""Oost-Zuid-Holland (CR)"";320758"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2017"";""Oost-Zuid-Holland (CR)"";324054"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2018"";""Oost-Zuid-Holland (CR)"";327821"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2019"";""Oost-Zuid-Holland (CR)"";331621"
"Totaal mannen en vrouwen;""Totaal"";""Totaal"";""2020"";""Oost-Zuid-Holland (CR)"";334617"
